Text,Normalized Result
左膝 / 退 / 变伴 / 游离 / 体,膝 / 骨关节 / 病 / ## / 膝关节 / 游离 / 体
糖尿病 / 反复 / 低血糖 / ## / 骨质 / 疏松 / ## / 高血压 / 冠心病 / 不 / 稳定 / 心绞痛,糖尿病 / 性 / 低血糖症 / ## / 骨质 / 疏松 / ## / 高血压 / ## / 冠状动脉 / 粥样 / 硬化性 / 心脏病 / ## / 不稳定性 / 心绞痛
右 / 乳腺癌 / IV / 期,乳腺 / 恶性肿瘤 / ## / 癌
头痛 / 头晕 / 高血压,头痛 / ## / 头晕 / ## / 高血压
骶裂 / 半 / 大便 / 失控,骶椎 / 椎板裂 / ## / 大便 / 失禁
右小腿 / 皮肤 / 软组织 / 损伤,下肢 / 未 / 特指 / 的 / 损伤 / 水平 / 未 / 特指
外阴 / 上皮 / 内瘤 / 变,外阴 / 上皮 / 内瘤 / 样变
重度 / 疼痛 / 胰腺癌,前列腺 / 恶性肿瘤 / ## / 癌 / ## / 癌性 / 疼痛
右侧 / 胸腔 / 积血 / 并 / 积气,血气胸
陈旧 / 型 / 心梗 / 心功 / IV / 级,心功能 / IV / 级 / NYHA / 分级 / ## / 陈旧性 / 心肌梗死
两侧 / 脑室 / 旁 / 脱髓鞘 / 缺血,脱髓鞘 / 性 / 脑病 / ## / 脑血管 / 供血 / 不足
双下肢 / 水肿 / 待查 / 心功能 / 不齐 / 高 / 心病,下肢 / 水肿 / ## / 心功能 / 不全 / ## / 高血压 / 性 / 心脏病
神经 / 型布 / 氏杆菌 / 病 / 吉兰 / 巴雷 / 综合征 / 可能性 / 大,吉兰 / 巴雷 / 综合征
右 / 膝关节 / 盘状 / 半月板 / 撕裂,先天性 / 盘状 / 半月板 / ## / 膝 / 半月板 / 撕裂
右侧 / 先 / 髋半 / 脱位 / 伴 / OA,单侧 / 膝关节 / 骨性 / 关节病 / ## / 先天性 / 单侧 / 髋关节 / 半 / 脱位
发热 / ## / 上呼吸道 / 感染 / ## / 泌尿道 / 感染,发热 / ## / 上呼吸道 / 感染 / ## / 感染 / ## / 部位 / 未 / 特指 / 的 / 泌尿道 / 感染
腹泻 / 病 / 急性 / 轻型 / 3 / 卵 / 圆孔 / 未闭,卵 / 圆孔 / 未闭
升结肠 / 粘液腺癌,粘液腺癌 / ## / 升结肠 / 恶性肿瘤
脑病 / 并 / 吞咽 / 功能 / 丧失,未 / 特指 / 的 / 脑病 / ## / 吞咽 / 障碍
慢性 / 糜烂性 / 胃炎,糜烂性 / 胃炎
双侧 / 髂 / 前 / 上 / 脊 / 褥疮 / 双下肢 / 褥疮,压疮
慢性 / 萎缩性 / 胃炎 / 并肠 / 化生,慢性 / 浅表性 / 胃炎 / ## / 肠上 / 皮化生
足 / 背 / 动脉 / 闭塞,足部 / 动脉 / 闭塞
肝硬化 / 腹水 / 胸水,肝硬化 / ## / 腹水 / ## / 胸腔 / 积液
骶 / 尾部 / 符合 / 脊髓 / 栓系 / 脂肪瘤 / 型,脊髓 / 脂肪瘤
子宫颈 / 低 / 分化 / 鳞状 / 细胞 / 癌,子宫颈 / 恶性肿瘤 / ## / 鳞状 / 细胞 / 癌
横结肠 / 双腔造 / 瘘 / 术后,结肠 / 造口 / 状态
脾区 / 管状腺瘤,脾 / 良性肿瘤 / ## / 管状腺瘤
肿瘤 / 特殊 / 筛查 / CA125TPSA / 升高,肿瘤 / 标记 / 物 / 升高
输尿管 / 结石 / 切开 / 取石 / 术后,输尿管 / 结石 / ## / 输尿管 / 术后
右腕 / 皮肤 / 擦伤,腕部 / 擦伤
左膝 / 刺伤,下肢 / 未 / 特指 / 的 / 损伤 / 水平 / 未 / 特指
慢性 / 粒细胞 / 性 / 减少 / 症 / 缓解 / 期,中性 / 粒细胞 / 减少 / 症
卵巢癌 / 化疗 / 后 / 反流性 / 食管炎,卵巢 / 恶性肿瘤 / ## / 癌 / ## / 化学治疗 / ## / 反流性 / 食管炎
1 / 先天性 / 新生儿 / 皮肤 / 缺损,先天性 / 皮肤 / 缺失
不孕 / 阴道 / 霉菌,未 / 特指 / 的 / 女性 / 不孕症 / ## / 真菌性 / 阴道炎
左侧 / 冠脉 / 扩张 / 心功能 / 0 / 级,冠状动脉 / 扩张 / ## / 心功能 / 不全
糖尿病 / 高血压 / 上呼吸道 / 感染,糖尿病 / ## / 高血压 / ## / 上呼吸道 / 感染
宫颈癌 / IIB / 期,子宫颈 / 恶性肿瘤 / ## / 癌
后天性 / 纯 / 红细胞 / 再生 / 障碍,未 / 特指 / 的 / 后天性 / 纯 / 红细胞 / 再生 / 障碍
坐骨神经 / 疾患,坐骨神经 / 损害
