Text,Normalized Result,label
左膝退变伴游离体,膝骨关节病 膝关节游离体,1.0
糖尿病反复低血糖 骨质疏松 高血压冠心病不稳定心绞痛,糖尿病性低血糖症 骨质疏松 高血压 冠状动脉粥样硬化性心脏病 不稳定性心绞痛,1.0
右乳腺癌IV期,乳腺恶性肿瘤 癌,1.0
头痛头晕高血压,头痛 头晕 高血压,1.0
骶裂半大便失控,骶椎椎板裂 大便失禁,1.0
右小腿皮肤软组织损伤,下肢未特指的损伤水平未特指,1.0
外阴上皮内瘤变,外阴上皮内瘤样变,1.0
重度疼痛胰腺癌,前列腺恶性肿瘤 癌 癌性疼痛,1.0
右侧胸腔积血并积气,血气胸,1.0
陈旧型心梗心功IV级,心功能IV级NYHA分级 陈旧性心肌梗死,1.0
两侧脑室旁脱髓鞘缺血,脱髓鞘性脑病 脑血管供血不足,1.0
双下肢水肿待查心功能不齐高心病,下肢水肿 心功能不全 高血压性心脏病,1.0
神经型布氏杆菌病吉兰巴雷综合征可能性大,吉兰巴雷综合征,1.0
右膝关节盘状半月板撕裂,先天性盘状半月板 膝半月板撕裂,1.0
右侧先髋半脱位伴OA,单侧膝关节骨性关节病 先天性单侧髋关节半脱位,1.0
发热 上呼吸道感染 泌尿道感染,发热 上呼吸道感染 感染 部位未特指的泌尿道感染,1.0
腹泻病急性轻型3卵圆孔未闭,卵圆孔未闭,1.0
升结肠粘液腺癌,粘液腺癌 升结肠恶性肿瘤,1.0
脑病并吞咽功能丧失,未特指的脑病 吞咽障碍,1.0
慢性糜烂性胃炎,糜烂性胃炎,1.0
双侧髂前上脊褥疮双下肢褥疮,压疮,1.0
慢性萎缩性胃炎并肠化生,慢性浅表性胃炎 肠上皮化生,1.0
足背动脉闭塞,足部动脉闭塞,1.0
肝硬化腹水胸水,肝硬化 腹水 胸腔积液,1.0
骶尾部符合脊髓栓系脂肪瘤型,脊髓脂肪瘤,1.0
子宫颈低分化鳞状细胞癌,子宫颈恶性肿瘤 鳞状细胞癌,1.0
横结肠双腔造瘘术后,结肠造口状态,1.0
脾区管状腺瘤,脾良性肿瘤 管状腺瘤,1.0
肿瘤特殊筛查CA125TPSA升高,肿瘤标记物升高,1.0
输尿管结石切开取石术后,输尿管结石 输尿管术后,1.0
右腕皮肤擦伤,腕部擦伤,1.0
左膝刺伤,下肢未特指的损伤水平未特指,1.0
慢性粒细胞性减少症缓解期,中性粒细胞减少症,1.0
卵巢癌化疗后反流性食管炎,卵巢恶性肿瘤 癌 化学治疗 反流性食管炎,1.0
1先天性新生儿皮肤缺损,先天性皮肤缺失,1.0
不孕阴道霉菌,未特指的女性不孕症 真菌性阴道炎,1.0
左侧冠脉扩张心功能0级,冠状动脉扩张 心功能不全,1.0
糖尿病高血压上呼吸道感染,糖尿病 高血压 上呼吸道感染,1.0
宫颈癌IIB期,子宫颈恶性肿瘤 癌,1.0
后天性纯红细胞再生障碍,未特指的后天性纯红细胞再生障碍,1.0
坐骨神经疾患,坐骨神经损害,1.0
右背部转移,躯干继发恶性肿瘤 转移性肿瘤,1.0
右侧骶髂关节椎体退行性变,骨关节病 脊椎退行性病变,1.0
右侧乳腺癌放疗后,乳腺恶性肿瘤 恶性肿瘤放疗 癌,1.0
左侧软腭裂伤,软腭开放性损伤,1.0
腋窝疖肿,腋脓肿 皮肤疖肿,1.0
周围神经病多发性,多发性神经病多发性神经炎周围神经炎,1.0
宫颈上皮内低级别病变CINI级,子宫颈上皮瘤样病变CINI级,1.0
胎儿染色体发育异常,先天性胎儿染色体异常,1.0
右小腿皮肤擦挫伤,小腿挫伤 小腿擦伤,1.0
喉部分切除术气管切开术,喉术后,1.0
右乳腺癌中医治疗,乳腺恶性肿瘤 恶性肿瘤中医治疗 癌,1.0
慢性浅表萎缩性胃炎伴咖啡斑,慢性萎缩性胃炎,1.0
盆腔三维适形放疗后复发陀螺刀治疗后,放射治疗,1.0
