Text,Normalized Result
左膝 / 退变 / 伴游 / 体,膝 / 骨关节 / 病 / 膝关节 / 游体
糖尿病 / 反复 / 低血糖 / 骨质 / 疏松 / 高血压 / 冠心病 / 稳 / 心绞痛,糖尿病 / 性 / 低血糖症 / 骨质 / 疏松 / 高血压 / 冠状动脉 / 粥样 / 硬化性 / 心脏病 / 稳性 / 心绞痛
右 / 乳腺癌 / IV / 期,乳腺 / 恶性肿瘤 / 癌
头痛 / 头晕 / 高血压,头痛 / 头晕 / 高血压
骶裂 / 失控,骶椎 / 椎板裂 / 失禁
右小腿 / 皮肤 / 软组织 / 损伤,下肢 / 未 / 特指 / 损伤 / 水平 / 未 / 特指
外阴 / 皮瘤 / 变,外阴 / 皮瘤 / 样变
重度 / 疼痛 / 胰腺癌,前列腺 / 恶性肿瘤 / 癌癌性 / 疼痛
右侧 / 胸腔 / 积血 / 积气,血气胸
陈旧 / 型 / 心梗 / 心功 / IV / 级,心功 / IV / 级 / NYH / 分级 / 陈旧性 / 心肌梗死
两侧 / 脑室 / 旁 / 脱髓鞘 / 缺血,脱髓鞘 / 性 / 脑病 / 脑血供 / 血足
双下肢 / 水肿 / 查心 / 功高 / 心病,下肢 / 水肿 / 心功全 / 高血压 / 性 / 心脏病
神型布 / 氏杆菌 / 病 / 吉兰 / 巴雷 / 综合征 / 性,吉兰 / 巴雷 / 综合征
右 / 膝关节 / 盘状 / 月 / 板 / 撕裂,先天性 / 盘状 / 月 / 板 / 膝 / 月 / 板 / 撕裂
右侧 / 先 / 髋 / 脱位 / 伴 / O,侧 / 膝关节 / 骨性 / 关节病 / 先天性 / 侧 / 髋关节 / 脱位
发热 / 呼吸道 / 感染 / 泌尿道 / 感染,发热 / 呼吸道 / 感染 / 感染 / 部位 / 未 / 特指 / 泌尿道 / 感染
腹泻 / 病 / 急性 / 轻型 / 卵 / 圆孔 / 未闭,卵 / 圆孔 / 未闭
升结肠 / 粘液腺癌,粘液腺癌 / 升结肠 / 恶性肿瘤
脑病 / 吞咽 / 功 / 丧失,未 / 特指 / 脑病 / 吞咽 / 障碍
慢性 / 糜烂性 / 胃炎,糜烂性 / 胃炎
双侧 / 髂 / 前 / 脊 / 褥疮 / 双下肢 / 褥疮,压疮
慢性 / 萎缩性 / 胃炎 / 肠 / 化生,慢性 / 浅表性 / 胃炎 / 肠 / 皮化生
足 / 背 / 动脉 / 闭塞,足部 / 动脉 / 闭塞
肝硬化 / 腹水 / 胸水,肝硬化 / 腹水 / 胸腔 / 积液
骶 / 尾部 / 符合 / 脊髓 / 栓系 / 脂肪瘤 / 型,脊髓 / 脂肪瘤
子宫颈 / 低 / 分化 / 鳞状 / 细胞 / 癌,子宫颈 / 恶性肿瘤 / 鳞状 / 细胞 / 癌
横结肠 / 双腔造 / 瘘 / 术后,结肠 / 造口 / 状态
脾区 / 状 / 腺瘤,脾 / 良性肿瘤 / 状 / 腺瘤
肿瘤 / 特殊 / 筛查 / CTPS / 升高,肿瘤 / 标记 / 物 / 升高
输尿 / 结石 / 开取 / 石 / 术后,输尿 / 结石 / 输尿 / 术后
右腕 / 皮肤 / 擦伤,腕部 / 擦伤
左膝 / 刺伤,下肢 / 未 / 特指 / 损伤 / 水平 / 未 / 特指
慢性 / 粒细胞 / 性 / 减少 / 症 / 缓解 / 期,中性 / 粒细胞 / 减少 / 症
卵巢癌 / 化疗 / 后 / 反流性 / 食炎,卵巢 / 恶性肿瘤 / 癌 / 化学治疗 / 反流性 / 食炎
先天性 / 新生儿 / 皮肤 / 缺损,先天性 / 皮肤 / 缺失
孕 / 阴道 / 霉菌,未 / 特指 / 女性 / 孕症 / 真菌性 / 阴道炎
左侧 / 冠脉 / 扩张 / 心功级,冠状动脉 / 扩张 / 心功全
糖尿病 / 高血压 / 呼吸道 / 感染,糖尿病 / 高血压 / 呼吸道 / 感染
宫颈癌 / IIB / 期,子宫颈 / 恶性肿瘤 / 癌
后天性 / 红细胞 / 再生 / 障碍,未 / 特指 / 后天性 / 红细胞 / 再生 / 障碍
坐骨 / 神 / 疾患,坐骨 / 神 / 损害
右 / 背部 / 转移,躯干 / 继发 / 恶性肿瘤 / 转移性 / 肿瘤
右侧 / 骶 / 髂 / 关节 / 椎体 / 退行性 / 变,骨关节 / 病 / 脊椎 / 退行性 / 病变
右侧 / 乳腺癌 / 放疗 / 后,乳腺 / 恶性肿瘤 / 恶性肿瘤 / 放疗 / 癌
左侧 / 软腭 / 裂伤,软腭 / 开放性 / 损伤
腋窝 / 疖肿,腋 / 脓肿 / 皮肤 / 疖肿
周围 / 神病 / 发性,发性 / 神病 / 发性 / 神炎 / 周围 / 神炎
宫颈 / 皮 / 低级 / 病变 / CINI / 级,子宫颈 / 皮瘤样 / 病变 / CINI / 级
胎儿 / 染色体 / 发育 / 异,先天性 / 胎儿 / 染色体 / 异
右小腿 / 皮肤 / 擦 / 挫伤,小腿 / 挫伤 / 小腿 / 擦伤
喉 / 部分 / 术气 / 开术,喉 / 术后
右 / 乳腺癌 / 中医 / 治疗,乳腺 / 恶性肿瘤 / 恶性肿瘤 / 中医 / 治疗 / 癌
慢性 / 浅表 / 萎缩性 / 胃炎 / 伴 / 咖啡 / 斑,慢性 / 萎缩性 / 胃炎
盆腔 / 维适形 / 放疗 / 后 / 复发 / 陀螺 / 刀 / 治疗 / 后,放射治疗
西医 / 神症 / 脑后 / 循环 / 缺血,后 / 循环 / 缺血 / 未 / 特指 / 神症 / 性障碍
C / 升高 / 癌 / 抗原 / 升高,C / 升高
头痛 / 急性 / 胃黏膜 / 病变,头痛
药物性 / 损害,药物 / 良 / 反应
子宫 / 原位癌,子宫 / 恶性肿瘤 / 原位癌
右屈 / 肘 / 总 / 肌腱 / 止点 / 撕脱 / 性骨折,肘关节 / 骨折
直肠 / 中 / 分化 / 状 / 腺癌 / 维持性 / 化学治疗,直肠 / 恶性肿瘤 / 状 / 腺癌 / 恶性肿瘤 / 维持性 / 化学治疗
慢性 / 浅表性 / 胃炎 / 轻度 / 萎缩,慢性 / 浅表性 / 胃炎 / 慢性 / 萎缩性 / 胃炎
肠 / 激惹 / 综合症 / 敏性 / 肠 / 综合症,肠 / 易激 / 综合征
颅骨 / 巨细胞 / 瘤,骨 / 巨细胞 / 瘤 / 颅骨 / 良性肿瘤
体 / 造血 / 干细胞 / 移植 / 后 / 隔 / 右肺 / 门 / 复发,体 / 造血 / 干细胞 / 移植 / 状态
盆腔 / 继发 / 癌,盆腔 / 继发 / 恶性肿瘤 / 转移性 / 癌
肝 / MT / 次 / 介入 / 术后 / 月余,肝 / 恶性肿瘤 / 肝 / 术后
炎症性 / 关节炎,关节炎
甲状旁腺 / 功 / 减退症,甲状旁腺 / 功 / 减退
CINII / 级 / 累 / 腺体 / 挖空 / 细胞,宫颈 / 皮瘤样 / 病变 / CINII / 级
左 / 胫 / 腓骨 / 骨折 / 术后,小腿 / 骨折 / 骨折 / 术后
蝶鞍 / 区 / 脑膜 / 良性肿瘤,脑膜 / 良性肿瘤
儿保小头围 / 精神 / 运动 / 发育 / 落后,发育 / 迟滞
脾虚 / 调 / 痹症 / 高 / 尿血 / 酸 / 血症,习惯 / 改变 / 高尿酸 / 血症
左尺 / 神 / 挫伤,身体 / 未 / 特指 / 部位 / 神 / 损伤
双眼 / 高 / 眼压 / 左眼 / 散粒肿,高 / 眼压 / 症睑 / 板腺 / 囊肿 / 霰粒肿
甲状腺肿 / 物,甲状腺肿 / 物 / 甲状腺 / 术后
双足骨 / 骨折,骨 / 骨折
耻骨 / 膀胱 / 前列腺 / 术,前列腺 / 术后
重叠 / 性 / 结缔组织 / 病,重叠 / 综合征
舌 / 疾患 / 沟纹 / 舌,舌未 / 特指 / 疾病 / 沟纹 / 舌
